"BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO","total","newmoonnumber"
0,14,3,0,0,0,2,5,0,0,0,0,0,0,3,0,0,0,0,0,0,27,340
0,7,8,0,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,22,341
0,9,3,0,0,0,1,3,0,0,0,0,0,0,13,0,0,0,0,0,0,29,344
0,11,8,0,0,0,2,2,0,0,0,0,0,0,15,0,0,0,0,0,0,38,346
0,9,4,0,0,0,2,4,0,0,0,4,0,0,21,0,0,0,0,0,0,44,347
0,9,4,0,0,0,2,4,0,0,0,8,0,0,27,0,0,0,0,0,0,54,348
0,8,6,0,0,0,5,15,0,0,0,2,0,0,32,0,0,0,0,0,0,68,349
0,7,5,0,0,2,5,12,0,1,0,2,0,0,24,0,0,0,0,0,0,58,350
0,12,6,0,0,2,8,12,0,3,0,0,0,0,11,0,0,0,0,0,0,54,351
0,9,6,0,0,1,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,29,352
0,10,9,0,0,0,6,7,0,0,0,0,0,0,2,0,0,0,0,0,0,34,353
0,10,7,0,0,0,3,4,0,0,0,0,0,0,2,0,1,0,0,0,0,27,354
0,11,3,0,0,0,1,4,0,1,0,0,0,0,3,0,0,0,0,0,0,23,355
0,9,2,0,0,0,2,3,0,3,0,1,0,0,9,0,0,0,0,0,0,29,356
0,14,4,0,0,0,1,2,0,1,0,0,0,0,22,0,0,0,0,0,0,44,357
0,12,2,0,0,1,2,2,0,1,0,0,0,0,24,0,0,0,0,0,0,44,358
0,12,2,0,0,0,0,4,0,1,0,0,0,0,34,0,0,0,0,0,0,53,360
0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,16,362
0,9,0,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,0,0,0,44,363
0,8,0,0,0,0,1,10,0,0,0,0,0,1,47,0,0,0,0,0,0,67,364
0,13,3,0,0,0,1,13,2,0,0,0,0,0,36,0,0,0,0,2,0,70,365
0,13,5,0,0,0,2,17,1,0,0,0,0,0,20,0,1,0,0,5,0,64,367
0,10,9,0,0,0,2,11,1,2,0,0,0,0,38,0,0,0,0,5,0,78,368
0,11,4,0,0,0,2,15,4,0,0,0,0,0,28,0,2,0,0,5,0,71,369
0,11,6,0,0,0,7,24,2,1,0,0,0,2,32,0,0,0,0,3,0,88,370
0,18,13,0,0,0,2,31,0,0,0,0,0,0,39,0,2,0,0,4,0,109,371
0,15,8,0,0,0,2,34,0,1,0,0,0,0,49,0,0,0,0,1,0,110,372
0,17,8,0,0,1,7,21,0,3,0,0,0,0,34,0,0,0,3,0,0,94,374
2,20,11,0,1,1,6,15,1,2,0,0,0,2,12,0,1,0,4,0,0,78,375
1,18,14,0,0,3,9,12,0,5,0,0,1,3,10,0,6,0,0,0,0,82,376
3,21,14,0,0,3,6,7,1,0,0,0,0,0,0,0,4,0,1,0,0,60,377
0,17,12,0,0,2,3,5,0,0,0,0,0,0,0,0,3,0,0,0,0,42,378
