"cast_id","cast_group","cast_date","start_moon","end_moon","lead_time","model","dataset","portalcasting_version","QAQC","notes"
190,9,"2019-12-20",217,525,12,"nbGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
191,9,"2019-12-20",217,525,12,"nbGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
192,9,"2019-12-20",217,525,12,"nbGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
193,9,"2019-12-20",217,525,12,"nbsGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
194,9,"2019-12-20",217,525,12,"nbsGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
195,9,"2019-12-20",217,525,12,"nbsGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
196,9,"2019-12-20",217,525,12,"pevGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
197,9,"2019-12-20",217,525,12,"pevGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
198,9,"2019-12-20",217,525,12,"pevGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
199,9,"2019-12-20",217,525,12,"simplexEDM","all","0.15.1",TRUE,"model fit on interpolated data"
200,9,"2019-12-20",217,525,12,"simplexEDM","controls","0.15.1",TRUE,"model fit on interpolated data"
201,9,"2019-12-20",217,525,12,"simplexEDM","exclosures","0.15.1",TRUE,"model fit on interpolated data"
202,10,"2019-12-27",217,526,12,"AutoArima","all","0.15.1",TRUE,NA
203,10,"2019-12-27",217,526,12,"AutoArima","controls","0.15.1",TRUE,NA
204,10,"2019-12-27",217,526,12,"AutoArima","exclosures","0.15.1",TRUE,NA
205,10,"2019-12-27",217,526,12,"ESSS","all","0.15.1",TRUE,"model fit on interpolated data"
206,10,"2019-12-27",217,526,12,"ESSS","controls","0.15.1",TRUE,"model fit on interpolated data"
207,10,"2019-12-27",217,526,12,"ESSS","exclosures","0.15.1",TRUE,"model fit on interpolated data"
208,10,"2019-12-27",217,526,12,"NaiveArima","all","0.15.1",TRUE,NA
209,10,"2019-12-27",217,526,12,"NaiveArima","controls","0.15.1",TRUE,NA
210,10,"2019-12-27",217,526,12,"NaiveArima","exclosures","0.15.1",TRUE,NA
211,10,"2019-12-27",217,526,12,"nbGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
212,10,"2019-12-27",217,526,12,"nbGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
213,10,"2019-12-27",217,526,12,"nbGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
214,10,"2019-12-27",217,526,12,"nbsGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
215,10,"2019-12-27",217,526,12,"nbsGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
216,10,"2019-12-27",217,526,12,"nbsGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
217,10,"2019-12-27",217,526,12,"pevGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
218,10,"2019-12-27",217,526,12,"pevGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
219,10,"2019-12-27",217,526,12,"pevGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
220,10,"2019-12-27",217,526,12,"simplexEDM","all","0.15.1",TRUE,"model fit on interpolated data"
221,10,"2019-12-27",217,526,12,"simplexEDM","controls","0.15.1",TRUE,"model fit on interpolated data"
222,10,"2019-12-27",217,526,12,"simplexEDM","exclosures","0.15.1",TRUE,"model fit on interpolated data"
223,11,"2020-01-02",217,526,12,"AutoArima","all","0.15.1",TRUE,NA
224,11,"2020-01-02",217,526,12,"AutoArima","controls","0.15.1",TRUE,NA
225,11,"2020-01-02",217,526,12,"AutoArima","exclosures","0.15.1",TRUE,NA
226,11,"2020-01-02",217,526,12,"ESSS","all","0.15.1",TRUE,"model fit on interpolated data"
227,11,"2020-01-02",217,526,12,"ESSS","controls","0.15.1",TRUE,"model fit on interpolated data"
228,11,"2020-01-02",217,526,12,"ESSS","exclosures","0.15.1",TRUE,"model fit on interpolated data"
229,11,"2020-01-02",217,526,12,"jags_RW","all","0.15.1",TRUE,NA
230,11,"2020-01-02",217,526,12,"jags_RW","controls","0.15.1",TRUE,NA
231,11,"2020-01-02",217,526,12,"jags_RW","exclosures","0.15.1",TRUE,NA
232,11,"2020-01-02",217,526,12,"NaiveArima","all","0.15.1",TRUE,NA
233,11,"2020-01-02",217,526,12,"NaiveArima","controls","0.15.1",TRUE,NA
234,11,"2020-01-02",217,526,12,"NaiveArima","exclosures","0.15.1",TRUE,NA
235,11,"2020-01-02",217,526,12,"nbGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
236,11,"2020-01-02",217,526,12,"nbGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
237,11,"2020-01-02",217,526,12,"nbGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
238,11,"2020-01-02",217,526,12,"nbsGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
239,11,"2020-01-02",217,526,12,"nbsGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
240,11,"2020-01-02",217,526,12,"nbsGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
241,11,"2020-01-02",217,526,12,"pevGARCH","all","0.15.1",TRUE,"model fit on interpolated data"
242,11,"2020-01-02",217,526,12,"pevGARCH","controls","0.15.1",TRUE,"model fit on interpolated data"
243,11,"2020-01-02",217,526,12,"pevGARCH","exclosures","0.15.1",TRUE,"model fit on interpolated data"
244,11,"2020-01-02",217,526,12,"simplexEDM","all","0.15.1",TRUE,"model fit on interpolated data"
245,11,"2020-01-02",217,526,12,"simplexEDM","controls","0.15.1",TRUE,"model fit on interpolated data"
246,11,"2020-01-02",217,526,12,"simplexEDM","exclosures","0.15.1",TRUE,"model fit on interpolated data"
