"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","cast_group","confidence_level","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id"
"2023-01-12",9,2023,572,"abundance","pevGARCH","controls","OT",118,0.95,2.85014659352587,0,9,217,563,3018
"2023-01-12",10,2023,573,"abundance","pevGARCH","controls","OT",118,0.95,2.74099775551615,0,9,217,563,3018
"2023-01-12",11,2023,574,"abundance","pevGARCH","controls","OT",118,0.95,2.48019770904364,0,8,217,563,3018
"2023-01-12",12,2023,575,"abundance","pevGARCH","controls","OT",118,0.95,2.3374642639582,0,8,217,563,3018
"2023-01-12",11,2022,562,"abundance","pevGARCH","controls","PB",118,0.95,2.03347079064909,0,5,217,563,3018
"2023-01-12",12,2022,563,"abundance","pevGARCH","controls","PB",118,0.95,2.17735485397823,0,6,217,563,3018
"2023-01-12",1,2023,564,"abundance","pevGARCH","controls","PB",118,0.95,2.21415086814747,0,7,217,563,3018
"2023-01-12",2,2023,565,"abundance","pevGARCH","controls","PB",118,0.95,2.18137762935777,0,7,217,563,3018
"2023-01-12",3,2023,566,"abundance","pevGARCH","controls","PB",118,0.95,2.25228948344509,0,7,217,563,3018
"2023-01-12",4,2023,567,"abundance","pevGARCH","controls","PB",118,0.95,2.35271457952273,0,7,217,563,3018
"2023-01-12",5,2023,568,"abundance","pevGARCH","controls","PB",118,0.95,2.46888897686853,0,8,217,563,3018
"2023-01-12",6,2023,569,"abundance","pevGARCH","controls","PB",118,0.95,2.55486520093695,0,8,217,563,3018
"2023-01-12",7,2023,570,"abundance","pevGARCH","controls","PB",118,0.95,2.60578774435627,0,8,217,563,3018
"2023-01-12",8,2023,571,"abundance","pevGARCH","controls","PB",118,0.95,2.65048873472673,0,8,217,563,3018
"2023-01-12",9,2023,572,"abundance","pevGARCH","controls","PB",118,0.95,2.43947943481168,0,7,217,563,3018
"2023-01-12",10,2023,573,"abundance","pevGARCH","controls","PB",118,0.95,2.36561388216528,0,7,217,563,3018
"2023-01-12",11,2023,574,"abundance","pevGARCH","controls","PB",118,0.95,2.36116667861602,0,7,217,563,3018
"2023-01-12",12,2023,575,"abundance","pevGARCH","controls","PB",118,0.95,2.36849315699994,0,7,217,563,3018
"2023-01-12",11,2022,562,"abundance","pevGARCH","controls","PE",118,0.95,0.272305924335356,0,2,217,563,3018
"2023-01-12",12,2022,563,"abundance","pevGARCH","controls","PE",118,0.95,0.381249285814768,0,2,217,563,3018
"2023-01-12",1,2023,564,"abundance","pevGARCH","controls","PE",118,0.95,0.513218465052818,0,2,217,563,3018
"2023-01-12",2,2023,565,"abundance","pevGARCH","controls","PE",118,0.95,0.635497228949807,0,3,217,563,3018
"2023-01-12",3,2023,566,"abundance","pevGARCH","controls","PE",118,0.95,0.71354740603346,0,3,217,563,3018
"2023-01-12",4,2023,567,"abundance","pevGARCH","controls","PE",118,0.95,0.559072977739777,0,3,217,563,3018
"2023-01-12",5,2023,568,"abundance","pevGARCH","controls","PE",118,0.95,0.386243989684667,0,2,217,563,3018
"2023-01-12",6,2023,569,"abundance","pevGARCH","controls","PE",118,0.95,0.241442995817457,0,2,217,563,3018
"2023-01-12",7,2023,570,"abundance","pevGARCH","controls","PE",118,0.95,0.229841927763511,0,1,217,563,3018
"2023-01-12",8,2023,571,"abundance","pevGARCH","controls","PE",118,0.95,0.261306360146473,0,2,217,563,3018
"2023-01-12",9,2023,572,"abundance","pevGARCH","controls","PE",118,0.95,0.274910856179233,0,2,217,563,3018
"2023-01-12",10,2023,573,"abundance","pevGARCH","controls","PE",118,0.95,0.327443047764905,0,2,217,563,3018
"2023-01-12",11,2023,574,"abundance","pevGARCH","controls","PE",118,0.95,0.397118094877044,0,2,217,563,3018
"2023-01-12",12,2023,575,"abundance","pevGARCH","controls","PE",118,0.95,0.425565507406522,0,2,217,563,3018
"2023-01-12",11,2022,562,"abundance","pevGARCH","controls","PF",118,0.95,0.349514001259173,0,2,217,563,3018
"2023-01-12",12,2022,563,"abundance","pevGARCH","controls","PF",118,0.95,0.441151920030936,0,2,217,563,3018
"2023-01-12",1,2023,564,"abundance","pevGARCH","controls","PF",118,0.95,0.458200265285638,0,2,217,563,3018
"2023-01-12",2,2023,565,"abundance","pevGARCH","controls","PF",118,0.95,0.476873908307445,0,2,217,563,3018
"2023-01-12",3,2023,566,"abundance","pevGARCH","controls","PF",118,0.95,0.499405548884035,0,2,217,563,3018
"2023-01-12",4,2023,567,"abundance","pevGARCH","controls","PF",118,0.95,0.550074313446566,0,3,217,563,3018
"2023-01-12",5,2023,568,"abundance","pevGARCH","controls","PF",118,0.95,0.660153461689057,0,3,217,563,3018
"2023-01-12",6,2023,569,"abundance","pevGARCH","controls","PF",118,0.95,0.819827976701397,0,3,217,563,3018
"2023-01-12",7,2023,570,"abundance","pevGARCH","controls","PF",118,0.95,0.859424712330789,0,3,217,563,3018
"2023-01-12",8,2023,571,"abundance","pevGARCH","controls","PF",118,0.95,0.798171871588496,0,4,217,563,3018
"2023-01-12",9,2023,572,"abundance","pevGARCH","controls","PF",118,0.95,0.796573548368704,0,3,217,563,3018
"2023-01-12",10,2023,573,"abundance","pevGARCH","controls","PF",118,0.95,0.697263882900903,0,3,217,563,3018
"2023-01-12",11,2023,574,"abundance","pevGARCH","controls","PF",118,0.95,0.599708811977913,0,3,217,563,3018
"2023-01-12",12,2023,575,"abundance","pevGARCH","controls","PF",118,0.95,0.565108784007715,0,3,217,563,3018
"2023-01-12",11,2022,562,"abundance","pevGARCH","controls","PL",118,0.95,0.0106742132651632,0,0,217,563,3018
"2023-01-12",12,2022,563,"abundance","pevGARCH","controls","PL",118,0.95,0.0106843686335026,0,0,217,563,3018
"2023-01-12",1,2023,564,"abundance","pevGARCH","controls","PL",118,0.95,0.0107233973703072,0,0,217,563,3018
"2023-01-12",2,2023,565,"abundance","pevGARCH","controls","PL",118,0.95,0.0107235764918399,0,0,217,563,3018
"2023-01-12",3,2023,566,"abundance","pevGARCH","controls","PL",118,0.95,0.0107180354642889,0,0,217,563,3018
"2023-01-12",4,2023,567,"abundance","pevGARCH","controls","PL",118,0.95,0.0112829101230574,0,0,217,563,3018
"2023-01-12",5,2023,568,"abundance","pevGARCH","controls","PL",118,0.95,0.0107194550302207,0,0,217,563,3018
"2023-01-12",6,2023,569,"abundance","pevGARCH","controls","PL",118,0.95,0.0107471455958718,0,0,217,563,3018
"2023-01-12",7,2023,570,"abundance","pevGARCH","controls","PL",118,0.95,0.0107181435763638,0,0,217,563,3018
"2023-01-12",8,2023,571,"abundance","pevGARCH","controls","PL",118,0.95,0.0107180105431657,0,0,217,563,3018
"2023-01-12",9,2023,572,"abundance","pevGARCH","controls","PL",118,0.95,0.0107180099329331,0,0,217,563,3018
"2023-01-12",10,2023,573,"abundance","pevGARCH","controls","PL",118,0.95,0.0107180099301339,0,0,217,563,3018
"2023-01-12",11,2023,574,"abundance","pevGARCH","controls","PL",118,0.95,0.0107180099301211,0,0,217,563,3018
"2023-01-12",12,2023,575,"abundance","pevGARCH","controls","PL",118,0.95,0.010710416986642,0,0,217,563,3018
"2023-01-12",11,2022,562,"abundance","pevGARCH","controls","PM",118,0.95,0.135018949539411,0,1,217,563,3018
"2023-01-12",12,2022,563,"abundance","pevGARCH","controls","PM",118,0.95,0.153093896267602,0,1,217,563,3018
"2023-01-12",1,2023,564,"abundance","pevGARCH","controls","PM",118,0.95,0.155512231237783,0,1,217,563,3018
"2023-01-12",2,2023,565,"abundance","pevGARCH","controls","PM",118,0.95,0.15583576892415,0,1,217,563,3018
"2023-01-12",3,2023,566,"abundance","pevGARCH","controls","PM",118,0.95,0.15587905310182,0,1,217,563,3018
"2023-01-12",4,2023,567,"abundance","pevGARCH","controls","PM",118,0.95,0.155884843826478,0,1,217,563,3018
"2023-01-12",5,2023,568,"abundance","pevGARCH","controls","PM",118,0.95,0.155885618531882,0,1,217,563,3018
"2023-01-12",6,2023,569,"abundance","pevGARCH","controls","PM",118,0.95,0.155885722174947,0,1,217,563,3018
"2023-01-12",7,2023,570,"abundance","pevGARCH","controls","PM",118,0.95,0.155885736040714,0,1,217,563,3018
"2023-01-12",8,2023,571,"abundance","pevGARCH","controls","PM",118,0.95,0.15588573789573,0,1,217,563,3018
"2023-01-12",9,2023,572,"abundance","pevGARCH","controls","PM",118,0.95,0.155885738143901,0,1,217,563,3018
"2023-01-12",10,2023,573,"abundance","pevGARCH","controls","PM",118,0.95,0.155885738177102,0,1,217,563,3018
"2023-01-12",11,2023,574,"abundance","pevGARCH","controls","PM",118,0.95,0.155885738181544,0,1,217,563,3018
"2023-01-12",12,2023,575,"abundance","pevGARCH","controls","PM",118,0.95,0.155990080863669,0,1,217,563,3018
"2023-01-12",11,2022,562,"abundance","pevGARCH","controls","PP",118,0.95,25.2336198634645,16,35,217,563,3018
"2023-01-12",12,2022,563,"abundance","pevGARCH","controls","PP",118,0.95,19.2567620674531,9,30,217,563,3018
"2023-01-12",1,2023,564,"abundance","pevGARCH","controls","PP",118,0.95,17.9209623288567,8,29,217,563,3018
"2023-01-12",2,2023,565,"abundance","pevGARCH","controls","PP",118,0.95,21.9745372562757,9,37,217,563,3018
"2023-01-12",3,2023,566,"abundance","pevGARCH","controls","PP",118,0.95,28.5064122752048,12,47,217,563,3018
"2023-01-12",4,2023,567,"abundance","pevGARCH","controls","PP",118,0.95,36.042398462778,17,60,217,563,3018
"2023-01-12",5,2023,568,"abundance","pevGARCH","controls","PP",118,0.95,48.3368662331447,22,76,217,563,3018
"2023-01-12",6,2023,569,"abundance","pevGARCH","controls","PP",118,0.95,68.4989367616102,35,103,217,563,3018
"2023-01-12",7,2023,570,"abundance","pevGARCH","controls","PP",118,0.95,83.710962480628,46,125,217,563,3018
"2023-01-12",8,2023,571,"abundance","pevGARCH","controls","PP",118,0.95,95.2269696323543,54,136,217,563,3018
"2023-01-12",9,2023,572,"abundance","pevGARCH","controls","PP",118,0.95,90.8221552681737,55,129,217,563,3018
"2023-01-12",10,2023,573,"abundance","pevGARCH","controls","PP",118,0.95,82.6088676631591,49,113,217,563,3018
"2023-01-12",11,2023,574,"abundance","pevGARCH","controls","PP",118,0.95,67.4892581786524,40,95,217,563,3018
"2023-01-12",12,2023,575,"abundance","pevGARCH","controls","PP",118,0.95,55.4132137760628,31,77,217,563,3018
"2023-01-12",11,2022,562,"abundance","pevGARCH","controls","RM",118,0.95,0.224053088160047,0,2,217,563,3018
"2023-01-12",12,2022,563,"abundance","pevGARCH","controls","RM",118,0.95,0.403835753307485,0,2,217,563,3018
"2023-01-12",1,2023,564,"abundance","pevGARCH","controls","RM",118,0.95,0.761591500824935,0,3,217,563,3018
"2023-01-12",2,2023,565,"abundance","pevGARCH","controls","RM",118,0.95,1.39729260974723,0,4,217,563,3018
"2023-01-12",3,2023,566,"abundance","pevGARCH","controls","RM",118,0.95,2.1231846655314,0,6,217,563,3018
"2023-01-12",4,2023,567,"abundance","pevGARCH","controls","RM",118,0.95,1.22633710619926,0,4,217,563,3018
"2023-01-12",5,2023,568,"abundance","pevGARCH","controls","RM",118,0.95,0.355429173260045,0,2,217,563,3018
"2023-01-12",6,2023,569,"abundance","pevGARCH","controls","RM",118,0.95,0.071307775900447,0,1,217,563,3018
"2023-01-12",7,2023,570,"abundance","pevGARCH","controls","RM",118,0.95,0.0693636998305831,0,1,217,563,3018
"2023-01-12",8,2023,571,"abundance","pevGARCH","controls","RM",118,0.95,0.111676933305446,0,1,217,563,3018
"2023-01-12",9,2023,572,"abundance","pevGARCH","controls","RM",118,0.95,0.106362338763497,0,1,217,563,3018
"2023-01-12",10,2023,573,"abundance","pevGARCH","controls","RM",118,0.95,0.210420677351653,0,1,217,563,3018
"2023-01-12",11,2023,574,"abundance","pevGARCH","controls","RM",118,0.95,0.379958522963863,0,2,217,563,3018
"2023-01-12",12,2023,575,"abundance","pevGARCH","controls","RM",118,0.95,0.432882233279047,0,2,217,563,3018
"2023-01-12",11,2022,562,"abundance","pevGARCH","controls","RO",118,0.95,0.0449294574318182,0,1,217,563,3018
"2023-01-12",12,2022,563,"abundance","pevGARCH","controls","RO",118,0.95,0.103607253503158,0,1,217,563,3018
"2023-01-12",1,2023,564,"abundance","pevGARCH","controls","RO",118,0.95,0.109763816244549,0,1,217,563,3018
"2023-01-12",2,2023,565,"abundance","pevGARCH","controls","RO",118,0.95,0.0165838645932029,0,0,217,563,3018
"2023-01-12",3,2023,566,"abundance","pevGARCH","controls","RO",118,0.95,0.0115336820052091,0,0,217,563,3018
"2023-01-12",4,2023,567,"abundance","pevGARCH","controls","RO",118,0.95,0.00416178394712064,0,0,217,563,3018
"2023-01-12",5,2023,568,"abundance","pevGARCH","controls","RO",118,0.95,0.00137043072342259,0,0,217,563,3018
"2023-01-12",6,2023,569,"abundance","pevGARCH","controls","RO",118,0.95,0.00351545021313723,0,0,217,563,3018
"2023-01-12",7,2023,570,"abundance","pevGARCH","controls","RO",118,0.95,0.00529497680229274,0,0,217,563,3018
"2023-01-12",8,2023,571,"abundance","pevGARCH","controls","RO",118,0.95,2.06713622190841e-05,0,0,217,563,3018
"2023-01-12",9,2023,572,"abundance","pevGARCH","controls","RO",118,0.95,3.32888626453983e-05,0,0,217,563,3018
"2023-01-12",10,2023,573,"abundance","pevGARCH","controls","RO",118,0.95,4.02248982090499e-05,0,0,217,563,3018
"2023-01-12",11,2023,574,"abundance","pevGARCH","controls","RO",118,0.95,0.000145788382534856,0,0,217,563,3018
"2023-01-12",12,2023,575,"abundance","pevGARCH","controls","RO",118,0.95,6.32214199906938e-05,0,0,217,563,3018
"2023-01-12",11,2022,562,"abundance","pevGARCH","controls","SF",118,0.95,0.125680634690764,0,1,217,563,3018
