"date","currency","model","level","species","aic","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
"2019-10-18","abundance","nbsGARCH","All","DS",370.952168951813,217,523,523
"2019-10-18","abundance","nbsGARCH","All","NA",1007.4390069092,217,523,523
"2019-10-18","abundance","nbsGARCH","All","OL",1958.27256624053,217,523,523
"2019-10-18","abundance","nbsGARCH","All","OT",1651.91018294659,217,523,523
"2019-10-18","abundance","nbsGARCH","All","PB",1992.64790200444,217,523,523
"2019-10-18","abundance","nbsGARCH","All","PE",1367.06092637352,217,523,523
"2019-10-18","abundance","nbsGARCH","All","PF",1241.89292432376,217,523,523
"2019-10-18","abundance","nbsGARCH","All","PH",113.884104750292,217,523,523
"2019-10-18","abundance","nbsGARCH","All","PL",433.440612723343,217,523,523
"2019-10-18","abundance","nbsGARCH","All","PM",853.699981244815,217,523,523
"2019-10-18","abundance","nbsGARCH","All","PP",2653.87729307275,217,523,523
"2019-10-18","abundance","nbsGARCH","All","RF",68.1144348095098,217,523,523
"2019-10-18","abundance","nbsGARCH","All","RM",1803.24995156089,217,523,523
"2019-10-18","abundance","nbsGARCH","All","RO",319.436043975653,217,523,523
"2019-10-18","abundance","nbsGARCH","All","SF",599.017943285768,217,523,523
"2019-10-18","abundance","nbsGARCH","All","SH",648.170947630506,217,523,523
"2019-10-18","abundance","nbsGARCH","All","SO",20.8272849531445,217,523,523
"2019-10-18","abundance","nbsGARCH","All","total",3014.40224873664,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","BA",281.389078097932,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","DM",1639.70979877984,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","DO",1046.1300553833,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","DS",216.893250044558,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","NA",217.933873753974,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","OL",446.733036402033,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","OT",1045.77218971836,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","PB",862.305982358879,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","PE",382.563429665075,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","PF",605.954210902111,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","PH",1e+06,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","PL",53.7098127360342,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","PM",281.712185536197,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","PP",1715.03759270145,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","RF",1e+06,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","RM",380.2726247913,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","RO",120.805123217334,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","SF",282.856824463489,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","SH",187.536778083109,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","SO",1e+06,217,523,523
"2019-10-18","abundance","nbsGARCH","Controls","total",2220.78133338609,217,523,523
