"cast_id","cast_group","cast_date","start_moon","end_moon","lead_time","model","data_set","portalcasting_version","QAQC","notes"
150,7,"2019-12-06",217,525,12,"nbsGARCH","exclosures_interp","0.15.0",TRUE,NA
151,7,"2019-12-06",217,525,12,"pevGARCH","all_interp","0.15.0",TRUE,NA
152,7,"2019-12-06",217,525,12,"pevGARCH","controls_interp","0.15.0",TRUE,NA
153,7,"2019-12-06",217,525,12,"pevGARCH","exclosures_interp","0.15.0",TRUE,NA
154,7,"2019-12-06",217,525,12,"simplexEDM","all_interp","0.15.0",TRUE,NA
155,7,"2019-12-06",217,525,12,"simplexEDM","controls_interp","0.15.0",TRUE,NA
156,7,"2019-12-06",217,525,12,"simplexEDM","exclosures_interp","0.15.0",TRUE,NA
157,8,"2019-12-19",217,525,12,"AutoArima","all","0.15.1",TRUE,NA
158,8,"2019-12-19",217,525,12,"AutoArima","controls","0.15.1",TRUE,NA
159,8,"2019-12-19",217,525,12,"AutoArima","exclosures","0.15.1",TRUE,NA
160,8,"2019-12-19",217,525,12,"ESSS","all_interp","0.15.1",TRUE,NA
161,8,"2019-12-19",217,525,12,"ESSS","controls_interp","0.15.1",TRUE,NA
162,8,"2019-12-19",217,525,12,"ESSS","exclosures_interp","0.15.1",TRUE,NA
163,8,"2019-12-19",217,525,12,"jags_RW","all","0.15.1",TRUE,NA
164,8,"2019-12-19",217,525,12,"jags_RW","controls","0.15.1",TRUE,NA
165,8,"2019-12-19",217,525,12,"jags_RW","exclosures","0.15.1",TRUE,NA
166,8,"2019-12-19",217,525,12,"NaiveArima","all","0.15.1",TRUE,NA
167,8,"2019-12-19",217,525,12,"NaiveArima","controls","0.15.1",TRUE,NA
168,8,"2019-12-19",217,525,12,"NaiveArima","exclosures","0.15.1",TRUE,NA
169,8,"2019-12-19",217,525,12,"nbGARCH","all_interp","0.15.1",TRUE,NA
170,8,"2019-12-19",217,525,12,"nbGARCH","controls_interp","0.15.1",TRUE,NA
171,8,"2019-12-19",217,525,12,"nbGARCH","exclosures_interp","0.15.1",TRUE,NA
172,8,"2019-12-19",217,525,12,"nbsGARCH","all_interp","0.15.1",TRUE,NA
173,8,"2019-12-19",217,525,12,"nbsGARCH","controls_interp","0.15.1",TRUE,NA
174,8,"2019-12-19",217,525,12,"nbsGARCH","exclosures_interp","0.15.1",TRUE,NA
175,8,"2019-12-19",217,525,12,"pevGARCH","all_interp","0.15.1",TRUE,NA
176,8,"2019-12-19",217,525,12,"pevGARCH","controls_interp","0.15.1",TRUE,NA
177,8,"2019-12-19",217,525,12,"pevGARCH","exclosures_interp","0.15.1",TRUE,NA
178,8,"2019-12-19",217,525,12,"simplexEDM","all_interp","0.15.1",TRUE,NA
179,8,"2019-12-19",217,525,12,"simplexEDM","controls_interp","0.15.1",TRUE,NA
180,8,"2019-12-19",217,525,12,"simplexEDM","exclosures_interp","0.15.1",TRUE,NA
181,9,"2019-12-20",217,525,12,"AutoArima","all","0.15.1",TRUE,NA
182,9,"2019-12-20",217,525,12,"AutoArima","controls","0.15.1",TRUE,NA
183,9,"2019-12-20",217,525,12,"AutoArima","exclosures","0.15.1",TRUE,NA
184,9,"2019-12-20",217,525,12,"ESSS","all_interp","0.15.1",TRUE,NA
185,9,"2019-12-20",217,525,12,"ESSS","controls_interp","0.15.1",TRUE,NA
186,9,"2019-12-20",217,525,12,"ESSS","exclosures_interp","0.15.1",TRUE,NA
187,9,"2019-12-20",217,525,12,"NaiveArima","all","0.15.1",TRUE,NA
188,9,"2019-12-20",217,525,12,"NaiveArima","controls","0.15.1",TRUE,NA
189,9,"2019-12-20",217,525,12,"NaiveArima","exclosures","0.15.1",TRUE,NA
190,9,"2019-12-20",217,525,12,"nbGARCH","all_interp","0.15.1",TRUE,NA
191,9,"2019-12-20",217,525,12,"nbGARCH","controls_interp","0.15.1",TRUE,NA
192,9,"2019-12-20",217,525,12,"nbGARCH","exclosures_interp","0.15.1",TRUE,NA
193,9,"2019-12-20",217,525,12,"nbsGARCH","all_interp","0.15.1",TRUE,NA
194,9,"2019-12-20",217,525,12,"nbsGARCH","controls_interp","0.15.1",TRUE,NA
195,9,"2019-12-20",217,525,12,"nbsGARCH","exclosures_interp","0.15.1",TRUE,NA
196,9,"2019-12-20",217,525,12,"pevGARCH","all_interp","0.15.1",TRUE,NA
197,9,"2019-12-20",217,525,12,"pevGARCH","controls_interp","0.15.1",TRUE,NA
