"moon","ntraps","nplots","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PL","PM","PP","RF","RM","RO","SF","SH","SO","total"
249,1176,24,0,41,20,1,9,0,16,31,5,23,0,2,15,50,0,5,0,0,2,0,220
251,1176,24,0,33,18,1,6,0,31,34,2,10,0,5,26,9,0,6,0,0,0,0,181
252,1176,24,0,42,15,1,8,0,21,25,8,5,0,1,35,1,0,5,0,0,1,0,168
253,1176,24,0,47,18,1,3,0,27,25,6,0,0,1,22,0,0,6,0,0,2,0,158
254,1176,24,0,37,15,1,3,0,19,15,3,0,0,2,17,1,0,6,0,0,0,0,119
255,1176,24,0,54,13,1,1,0,21,17,0,0,0,2,15,0,0,2,0,0,0,0,126
256,1176,24,0,50,17,2,2,0,16,21,1,0,0,0,8,0,0,3,0,0,0,0,120
258,1176,24,0,43,5,0,4,0,10,11,3,1,0,2,7,21,0,1,0,0,0,0,108
259,1176,24,0,60,12,0,7,0,14,16,4,6,0,3,7,23,0,0,0,0,0,0,152
260,1176,24,0,35,10,1,6,0,12,30,6,7,0,0,8,26,0,0,0,0,0,0,141
261,1176,24,0,34,7,1,1,0,10,39,2,6,0,0,11,40,0,1,0,0,0,0,152
262,1176,24,0,29,5,0,2,0,10,53,3,3,0,0,8,45,0,0,0,0,0,0,158
263,1176,24,0,32,11,1,4,0,10,45,2,1,0,0,9,40,0,0,0,0,0,0,155
264,1176,24,0,36,10,1,2,0,24,37,0,0,0,0,16,8,0,0,0,0,0,0,134
265,1176,24,0,48,13,1,1,0,19,30,1,0,0,0,7,0,0,3,0,0,0,0,123
266,1176,24,0,49,5,1,1,0,15,20,0,0,0,0,6,0,0,2,0,0,0,0,99
267,1176,24,0,55,12,1,2,0,21,23,2,0,0,0,7,1,0,6,0,0,0,0,130
269,1176,24,0,54,9,1,2,0,13,25,0,0,0,0,10,2,0,7,0,0,0,0,123
270,1176,24,0,54,16,2,2,0,11,33,0,0,0,0,7,9,0,1,0,0,0,0,135
271,1176,24,0,41,12,1,2,0,12,28,1,0,0,0,5,23,0,2,0,0,0,0,127
272,1176,24,0,32,10,1,1,0,7,39,1,0,0,0,5,20,0,1,0,0,0,0,117
275,1176,24,0,3,0,0,5,0,1,8,0,0,0,0,0,12,0,0,0,0,0,0,29
276,1176,24,0,16,5,0,1,0,6,20,2,0,0,0,1,23,0,0,0,0,0,0,74
277,1176,24,0,18,3,0,2,0,13,31,0,0,0,0,0,44,0,0,0,0,1,0,112
278,1176,24,0,11,5,0,2,0,6,37,0,0,0,0,0,33,0,3,0,0,1,0,98
279,1176,24,0,19,11,0,4,0,7,40,0,0,0,0,1,32,0,3,0,0,1,0,118
280,1176,24,0,19,13,0,3,0,9,57,0,0,0,0,0,31,0,0,0,0,0,0,132
283,1176,24,0,20,13,0,2,0,11,50,2,0,0,0,0,37,0,2,0,0,1,0,138
284,1176,24,0,18,13,0,3,0,8,63,1,0,0,0,0,59,0,1,0,0,3,0,169
285,1176,24,0,19,7,0,2,0,11,74,1,0,0,0,0,72,0,0,0,0,1,0,187
287,1176,24,0,25,6,0,1,0,18,62,2,0,0,0,0,58,0,0,0,0,0,0,172
288,1176,24,0,30,5,0,3,0,25,49,2,0,0,0,1,14,0,1,0,0,0,0,130
290,1176,24,0,27,7,0,4,0,23,33,6,0,0,0,0,3,0,5,0,0,0,0,108
291,1176,24,0,23,4,0,2,0,28,31,1,0,0,0,0,1,0,0,0,0,0,0,90
294,1176,24,0,26,0,0,2,0,8,17,0,1,0,0,1,18,0,1,0,0,0,0,74
295,1176,24,0,26,8,0,2,0,6,21,1,3,0,0,1,23,0,0,0,0,1,0,92
296,1176,24,0,32,7,0,10,0,6,28,3,2,0,0,0,16,0,0,0,0,3,0,107
299,1176,24,0,31,7,0,3,0,23,81,3,5,0,0,0,66,0,0,0,0,0,0,219
300,1176,24,0,35,7,0,4,0,22,87,2,2,0,0,0,52,0,0,0,0,0,0,211
301,1176,24,0,37,12,0,5,0,38,78,4,8,0,0,0,24,0,0,0,0,1,0,207
302,1176,24,0,34,19,0,8,0,28,80,12,1,0,0,0,7,0,2,0,0,1,0,192
305,1176,24,0,37,28,0,4,0,10,63,7,2,0,0,1,4,0,9,3,0,1,0,169
306,1176,24,0,37,26,0,5,0,10,53,2,4,0,0,0,13,0,2,0,0,1,0,153
307,1176,24,0,34,31,0,5,0,12,54,1,2,0,0,0,49,0,0,0,0,3,0,191
308,1176,24,0,37,33,0,5,0,6,88,11,2,0,0,0,51,0,2,0,0,2,0,237
309,1176,24,0,27,23,0,4,0,6,95,7,1,0,0,0,59,0,2,0,0,0,0,224
310,1176,24,0,23,19,0,4,0,11,95,8,1,0,0,0,86,0,2,1,0,3,0,253
312,1176,24,0,14,7,0,3,0,6,27,0,0,0,0,0,26,0,0,0,0,0,0,83
313,1176,24,0,25,12,0,5,2,7,100,5,1,0,0,0,53,0,0,0,0,0,0,210
314,1176,24,0,21,20,0,2,3,21,110,6,2,0,0,0,25,0,2,0,1,1,0,214
315,1176,24,0,23,22,0,5,1,18,105,5,2,0,0,0,11,0,0,0,1,0,0,193
316,1176,24,0,21,20,0,5,2,9,77,3,1,0,0,0,7,0,1,3,5,0,0,154
317,1176,24,0,31,33,0,4,1,15,109,9,6,0,0,0,11,0,9,1,4,1,0,234
318,1176,24,0,34,48,0,4,1,14,106,18,12,0,0,0,15,0,5,1,5,2,0,265
319,1176,24,0,35,34,0,8,4,18,97,16,9,0,0,0,52,0,8,1,5,1,0,288
320,1176,24,0,32,26,0,5,12,36,116,19,7,0,0,0,65,0,6,2,4,1,0,331
321,1176,24,0,32,19,0,7,6,29,136,7,9,0,0,1,60,0,3,0,4,1,0,314
322,1176,24,0,29,18,0,4,4,28,107,10,6,0,0,0,95,0,2,0,2,1,0,306
323,1176,24,0,26,13,0,6,2,25,108,11,4,0,0,0,97,0,2,0,3,2,0,299
324,1176,24,0,31,10,1,2,4,26,91,7,2,0,0,0,68,0,3,0,0,0,0,245
325,1176,24,0,20,12,0,1,3,29,83,8,2,0,0,0,26,0,5,0,0,0,0,189
326,1176,24,0,20,8,0,2,1,24,63,10,0,0,0,0,7,0,3,0,0,0,0,138
327,1176,24,0,17,13,0,3,0,23,58,9,0,0,0,0,3,0,1,0,0,0,0,127
328,1176,24,0,30,8,0,1,0,13,52,6,0,0,0,0,0,0,1,0,0,0,0,111
329,1176,24,0,24,9,0,2,3,15,45,5,0,0,0,0,0,0,1,0,0,0,0,104
330,1176,24,0,24,13,0,2,0,9,39,4,0,0,0,0,1,0,0,0,0,0,0,92
331,1176,24,0,21,6,0,0,0,11,39,2,0,0,0,0,5,0,0,0,0,0,0,84
333,1176,24,0,26,16,0,2,0,9,27,1,2,0,0,0,28,0,0,0,0,0,0,111
336,1176,24,0,16,9,0,0,0,10,44,1,2,0,0,0,47,0,0,0,0,0,0,129
337,1176,24,0,8,5,0,0,0,4,43,0,0,0,0,0,61,0,0,0,0,0,0,121
338,1176,24,0,14,10,0,2,0,15,48,4,0,0,0,0,54,0,0,0,0,0,0,147
340,1176,24,0,21,12,0,1,0,14,45,2,4,0,0,0,11,0,0,0,0,0,0,110
341,1176,24,0,11,26,0,2,0,9,39,5,2,0,0,1,3,0,1,0,0,0,0,99
344,1176,24,0,14,15,0,0,0,10,25,2,0,0,0,1,41,0,0,0,0,0,0,108
346,1174,24,0,15,19,0,2,0,7,43,4,0,0,0,0,52,0,1,0,0,0,0,143
