"moon","ntraps","nplots","DM","total"
138,196,4,10,10
139,196,4,9,9
140,196,4,14,14
141,196,4,14,14
142,196,4,14,14
143,196,4,12,12
144,196,4,16,16
145,196,4,9,9
146,196,4,9,9
147,196,4,10,10
148,196,4,12,12
149,196,4,9,9
150,196,4,17,17
151,196,4,8,8
152,196,4,11,11
153,196,4,13,13
154,196,4,17,17
155,196,4,15,15
156,196,4,16,16
157,196,4,20,20
158,196,4,19,19
159,196,4,20,20
160,196,4,17,17
161,196,4,19,19
162,196,4,17,17
163,196,4,17,17
164,196,4,14,14
165,196,4,23,23
166,196,4,20,20
167,196,4,25,25
168,196,4,21,21
169,196,4,22,22
170,196,4,23,23
171,196,4,13,13
172,196,4,12,12
173,196,4,13,13
174,196,4,12,12
175,196,4,15,15
176,196,4,13,13
177,196,4,12,12
178,196,4,16,16
179,196,4,15,15
180,196,4,12,12
181,196,4,14,14
182,196,4,16,16
183,196,4,21,21
184,196,4,17,17
185,196,4,15,15
186,196,4,15,15
187,196,4,10,10
188,196,4,10,10
189,196,4,14,14
190,196,4,16,16
191,NA,NA,14,14
192,196,4,12,12
193,196,4,11,11
194,196,4,10,10
195,196,4,23,23
196,196,4,8,8
197,196,4,10,10
198,196,4,10,10
199,196,4,9,9
200,196,4,12,12
201,196,4,7,7
202,196,4,12,12
203,196,4,11,11
204,196,4,9,9
205,196,4,12,12
206,196,4,17,17
207,196,4,17,17
208,196,4,19,19
209,196,4,14,14
210,196,4,10,10
211,196,4,8,8
212,196,4,8,8
213,196,4,9,9
214,196,4,13,13
215,196,4,11,11
216,196,4,10,10
217,196,4,9,9
218,196,4,10,10
219,196,4,13,13
220,196,4,19,19
221,196,4,17,17
222,196,4,22,22
223,196,4,19,19
224,196,4,23,23
225,196,4,17,17
226,196,4,19,19
227,196,4,20,20
228,196,4,21,21
229,196,4,16,16
230,196,4,23,23
231,196,4,19,19
232,196,4,10,10
233,196,4,25,25
234,196,4,13,13
235,196,4,18,18
236,196,4,12,12
237,196,4,9,9
238,196,4,17,17
239,196,4,19,19
240,196,4,19,19
241,196,4,20,20
242,NA,NA,28,28
243,196,4,36,36
244,196,4,40,40
245,196,4,29,29
246,196,4,25,25
247,196,4,29,29
248,196,4,23,23
249,196,4,22,22
250,NA,NA,20,20
251,196,4,19,19
252,196,4,24,24
253,196,4,24,24
254,196,4,22,22
255,196,4,28,28
256,196,4,31,31
257,NA,NA,26,26
258,196,4,20,20
259,196,4,31,31
260,196,4,16,16
261,196,4,16,16
262,196,4,14,14
263,196,4,16,16
264,196,4,17,17
265,196,4,21,21
266,196,4,24,24
267,196,4,23,23
268,NA,NA,21,21
269,196,4,19,19
270,196,4,24,24
271,196,4,14,14
272,196,4,11,11
273,NA,NA,8,8
274,NA,NA,5,5
275,196,4,2,2
276,196,4,7,7
277,196,4,14,14
278,196,4,5,5
279,196,4,9,9
280,196,4,7,7
281,NA,NA,9,9
282,NA,NA,10,10
283,196,4,12,12
284,196,4,12,12
285,196,4,11,11
286,NA,NA,12,12
287,196,4,14,14
288,196,4,17,17
289,NA,NA,16,16
290,196,4,16,16
291,196,4,13,13
292,NA,NA,14,14
293,NA,NA,14,14
294,196,4,15,15
295,196,4,16,16
296,196,4,24,24
297,NA,NA,23,23
298,NA,NA,21,21
299,196,4,20,20
300,196,4,21,21
301,196,4,20,20
302,196,4,20,20
303,NA,NA,19,19
304,NA,NA,18,18
305,196,4,17,17
306,196,4,22,22
307,196,4,17,17
308,196,4,18,18
309,196,4,13,13
310,196,4,11,11
311,NA,NA,9,9
312,196,4,7,7
313,196,4,14,14
314,196,4,13,13
315,196,4,13,13
316,196,4,13,13
317,196,4,19,19
318,196,4,19,19
319,196,4,14,14
320,196,4,14,14
321,196,4,15,15
322,196,4,14,14
323,196,4,11,11
324,196,4,11,11
325,196,4,11,11
326,196,4,12,12
327,196,4,9,9
328,196,4,11,11
329,196,4,10,10
330,196,4,14,14
331,196,4,9,9
332,NA,NA,12,12
333,196,4,15,15
334,NA,NA,13,13
335,NA,NA,11,11
336,196,4,9,9
337,196,4,5,5
338,196,4,8,8
339,NA,NA,11,11
340,196,4,14,14
341,196,4,7,7
342,NA,NA,8,8
343,NA,NA,8,8
344,196,4,9,9
345,NA,NA,10,10
346,196,4,11,11
347,196,4,9,9
348,196,4,9,9
349,196,4,8,8
350,196,4,7,7
351,196,4,12,12
352,196,4,9,9
353,196,4,10,10
354,196,4,10,10
355,196,4,11,11
356,196,4,9,9
357,196,4,14,14
358,196,4,12,12
359,NA,NA,12,12
360,196,4,12,12
361,NA,NA,8,8
362,196,4,3,3
363,196,4,9,9
364,196,4,8,8
365,196,4,13,13
366,NA,NA,13,13
367,196,4,13,13
368,196,4,10,10
369,196,4,11,11
370,196,4,11,11
371,196,4,18,18
372,196,4,15,15
373,NA,NA,16,16
374,196,4,17,17
375,196,4,20,20
376,196,4,18,18
377,196,4,21,21
378,196,4,17,17
379,196,4,23,23
380,196,4,20,20
381,196,4,20,20
382,196,4,21,21
383,196,4,23,23
384,196,4,24,24
385,196,4,13,13
386,196,4,9,9
387,196,4,10,10
388,196,4,10,10
389,196,4,16,16
390,196,4,17,17
391,196,4,16,16
392,196,4,17,17
393,196,4,10,10
394,196,4,9,9
395,196,4,11,11
396,196,4,11,11
397,196,4,9,9
398,196,4,8,8
399,196,4,7,7
400,196,4,6,6
401,196,4,6,6
402,196,4,6,6
403,196,4,6,6
404,196,4,7,7
405,196,4,8,8
406,196,4,10,10
407,196,4,13,13
408,NA,NA,10,10
409,196,4,8,8
410,NA,NA,8,8
411,196,4,8,8
412,NA,NA,8,8
413,196,4,9,9
414,NA,NA,11,11
415,196,4,13,13
416,196,4,10,10
417,196,4,14,14
418,196,4,13,13
419,196,4,11,11
420,NA,NA,8,8
421,196,4,4,4
422,196,4,9,9
423,196,4,8,8
424,196,4,8,8
425,196,4,6,6
426,NA,NA,10,10
427,NA,NA,15,15
428,196,4,19,19
429,196,4,15,15
430,196,4,15,15
431,196,4,16,16
432,NA,NA,20,20
433,196,4,25,25
434,196,4,27,27
435,196,4,24,24
436,196,4,20,20
437,196,4,24,24
438,196,4,22,22
439,196,4,26,26
440,196,4,19,19
441,196,4,20,20
442,196,4,20,20
443,196,4,25,25
444,196,4,22,22
445,NA,NA,20,20
446,196,4,19,19
447,NA,NA,19,19
448,196,4,19,19
449,NA,NA,18,18
450,196,4,16,16
451,NA,NA,18,18
452,196,4,21,21
453,196,4,35,35
454,196,4,28,28
455,196,4,29,29
456,196,4,27,27
457,196,4,25,25
458,196,4,23,23
459,196,4,21,21
460,196,4,20,20
461,196,4,19,19
462,196,4,17,17
463,196,4,14,14
464,NA,NA,18,18
465,196,4,22,22
466,196,4,25,25
467,196,4,18,18
468,196,4,16,16
469,196,4,21,21
470,196,4,14,14
471,196,4,14,14
472,196,4,16,16
473,196,4,17,17
474,196,4,21,21
475,196,4,22,22
476,NA,NA,22,22
477,NA,NA,23,23
478,196,4,23,23
479,196,4,17,17
480,NA,NA,21,21
481,196,4,25,25
482,196,4,17,17
483,196,4,17,17
484,196,4,13,13
485,196,4,13,13
486,196,4,12,12
487,196,4,14,14
488,NA,NA,16,16
489,NA,NA,18,18
490,196,4,20,20
491,196,4,21,21
492,196,4,12,12
493,196,4,18,18
494,196,4,17,17
495,196,4,11,11
496,NA,NA,10,10
497,196,4,10,10
498,196,4,11,11
499,196,4,11,11
500,196,4,13,13
501,NA,NA,13,13
502,NA,NA,14,14
503,NA,NA,14,14
504,196,4,14,14
505,196,4,15,15
506,196,4,8,8
507,196,4,9,9
508,196,4,11,11
509,196,4,7,7
510,196,4,8,8
511,196,4,8,8
512,196,4,9,9
513,NA,NA,10,10
514,NA,NA,12,12
515,NA,NA,13,13
516,196,4,14,14
517,196,4,10,10
518,196,4,12,12
519,196,4,8,8
520,196,4,8,8
521,196,4,2,2
522,196,4,4,4
523,196,4,7,7
524,196,4,9,9
525,196,4,10,10
526,196,4,13,13
527,196,4,24,24
528,NA,NA,23,23
529,NA,NA,22,22
530,NA,NA,21,21
531,NA,NA,20,20
532,NA,NA,19,19
533,NA,NA,18,18
534,NA,NA,17,17
535,NA,NA,16,16
536,NA,NA,15,15
537,NA,NA,14,14
538,NA,NA,13,13
539,NA,NA,12,12
540,NA,NA,11,11
541,NA,NA,10,10
542,NA,NA,9,9
543,NA,NA,8,8
544,196,4,7,7
545,NA,NA,8,8
546,NA,NA,8,8
547,NA,NA,8,8
548,196,4,9,9
549,196,4,16,16
