"mintemp","maxtemp","meantemp","precipitation","newmoonnumber","ndvi","source"
17.15,38.04,26.1839798850575,47.244,213,0.2955,"hist"
13.14,34.95,23.9333764367816,11.684,214,0.322,"hist"
2.634,30.24,17.3371333333333,13.208,215,0.333,"hist"
-6.061,26.64,9.73362068965517,63.754,216,0.2445,"hist"
-2.096,20.19,7.52309861111111,77.47,217,0.24,"hist"
-5.131,21.81,6.92859626436782,21.082,218,0.303625,"hist"
-0.725,22.9,11.3269277777778,21.336,219,0.36725,"hist"
-3.887,25.66,12.5276752873563,16.002,220,0.388375,"hist"
-1.755,29.78,15.3380125,1.524,221,0.4095,"hist"
2.985,33.37,20.4020097222222,2.54,222,0.3465,"hist"
9.28,37.92,25.8065373563218,0,223,0.289,"hist"
14.4,42.32,27.441875,39.116,224,0.3135,"hist"
17.61,41.11,27.9051436781609,27.94,225,0.2405,"hist"
10.76,38.18,24.3610277777778,60.96,226,0.3665,"hist"
5.144,31.47,20.4440517241379,12.7,227,0.3915,"hist"
4.798,29.68,15.0525777777778,7.62,228,0.408,"hist"
-4.261,25.02,10.6706063218391,4.064,229,0.274,"hist"
-6.39,40.99,7.85187224400871,0.508,230,0.2215,"hist"
-5.048,25.58,11.2732471264368,6.35,231,0.193,"hist"
-3.105,25.8,12.1724277777778,1.778,232,0.2735,"hist"
0.228,31.15,15.7045502873563,4.318,233,0.3445,"hist"
5.274,38.88,23.8743041666667,0,234,0.334,"hist"
8.75,38.7,26.3704454022988,26.162,235,0.2535,"hist"
15.19,40.1,26.8715,67.31,236,0.2905,"hist"
17.27,38.31,26.3999444444444,52.324,237,0.3375,"hist"
14.57,38.83,24.1762931034483,21.844,238,0.3365,"hist"
11.12,34.06,21.7910694444444,34.798,239,0.3335,"hist"
-1.422,29.1,13.5512658045977,43.942,240,0.2815,"hist"
-3.633,26.11,11.1145180555556,6.858,241,0.283,"hist"
-9.83,21.41,6.91655172413793,11.938,242,0.258,"hist"
-4.381,20.91,7.5957625,13.97,243,0.2515,"hist"
-1.273,25.14,9.34639942528736,40.64,244,0.2945,"hist"
-2.423,28.97,14.8487152777778,3.048,245,0.3145,"hist"
2.139,35.05,18.9308390804598,2.794,246,0.268,"hist"
11.78,38.15,23.5794305555556,32.004,247,0.2695,"hist"
12.03,41.09,27.4351005747126,2.286,248,0.275,"hist"
16.22,38.77,26.4266666666667,40.64,249,0.3285,"hist"
16.71,36.9,25.5058189655172,34.29,250,0.3135,"hist"
13.6,36.64,24.6428611111111,27.432,251,0.3455,"hist"
0.197,32.99,16.5841652777778,8.89,252,0.30625,"hist"
-1.007,26.94,11.9689109195402,16.002,253,0.267,"hist"
-6.621,18.6,4.62975694444444,51.816,254,0.2285,"hist"
-3.555,21.2,7.90447988505747,1.27,255,0.2045,"hist"
-2.394,21.8,7.29696805555556,30.48,256,0.2185,"hist"
-4.167,29.09,11.4488505747126,17.272,257,0.2585,"hist"
-1.842,30.9,13.0964875,12.7,258,0.301,"hist"
-2.2,30.43,22.3670795019157,0,259,0.32,"hist"
2.8,33.3,27.5793103448276,4.3,260,0.28,"hist"
8.3,36.1,26.9896551724138,122.2,261,0.2605,"hist"
9.4,31.1,26.2137931034483,49.5,262,0.286,"hist"
12.2,36.51,26.1762232905983,28.956,263,0.262,"hist"
3.873,35.08,22.0880347222222,0,264,0.306,"hist"
-0.825,26.78,14.0441393678161,32.766,265,0.2775,"hist"
-5.078,24.89,8.92155833333333,20.574,266,0.2555,"hist"
