"newmoonnumber","ntraps","nplots","DM"
237,196,4,9
238,196,4,17
239,196,4,19
240,196,4,19
241,196,4,20
242,NA,NA,NA
243,196,4,36
244,196,4,40
245,196,4,29
246,196,4,25
247,196,4,29
248,196,4,23
249,196,4,22
250,NA,NA,NA
251,196,4,19
252,196,4,24
253,196,4,24
254,196,4,22
255,196,4,28
256,196,4,31
257,NA,NA,NA
258,196,4,20
259,196,4,31
260,196,4,16
261,196,4,16
262,196,4,14
263,196,4,16
264,196,4,17
265,196,4,21
266,196,4,24
267,196,4,23
268,NA,NA,NA
269,196,4,19
270,196,4,24
271,196,4,14
272,196,4,11
273,NA,NA,NA
274,NA,NA,NA
275,196,4,2
276,196,4,7
277,196,4,14
278,196,4,5
279,196,4,9
280,196,4,7
281,NA,NA,NA
282,NA,NA,NA
283,196,4,12
284,196,4,12
285,196,4,11
286,NA,NA,NA
287,196,4,14
288,196,4,17
289,NA,NA,NA
290,196,4,16
291,196,4,13
292,NA,NA,NA
293,NA,NA,NA
294,196,4,15
295,196,4,16
296,196,4,24
297,NA,NA,NA
298,NA,NA,NA
299,196,4,20
300,196,4,21
301,196,4,20
302,196,4,20
303,NA,NA,NA
304,NA,NA,NA
305,196,4,17
306,196,4,22
307,196,4,17
308,196,4,18
309,196,4,13
310,196,4,11
311,NA,NA,NA
312,196,4,7
313,196,4,14
314,196,4,13
315,196,4,13
316,196,4,13
317,196,4,19
318,196,4,19
319,196,4,14
320,196,4,14
321,196,4,15
322,196,4,14
323,196,4,11
324,196,4,11
325,196,4,11
326,196,4,12
327,196,4,9
328,196,4,11
329,196,4,10
330,196,4,14
331,196,4,9
332,NA,NA,NA
333,196,4,15
334,NA,NA,NA
335,NA,NA,NA
336,196,4,9
337,196,4,5
338,196,4,8
339,NA,NA,NA
340,196,4,14
341,196,4,7
342,NA,NA,NA
343,NA,NA,NA
344,196,4,9
345,NA,NA,NA
346,196,4,11
347,196,4,9
348,196,4,9
349,196,4,8
350,196,4,7
351,196,4,12
352,196,4,9
353,196,4,10
354,196,4,10
355,196,4,11
356,196,4,9
357,196,4,14
358,196,4,12
359,NA,NA,NA
360,196,4,12
361,NA,NA,NA
362,196,4,3
363,196,4,9
364,196,4,8
365,196,4,13
366,NA,NA,NA
367,196,4,13
368,196,4,10
369,196,4,11
370,196,4,11
371,196,4,18
372,196,4,15
373,NA,NA,NA
374,196,4,17
375,196,4,20
376,196,4,18
377,196,4,21
378,196,4,17
379,196,4,23
380,196,4,20
381,196,4,20
382,196,4,21
383,196,4,23
384,196,4,24
385,196,4,13
386,196,4,9
387,196,4,10
388,196,4,10
389,196,4,16
390,196,4,17
391,196,4,16
392,196,4,17
393,196,4,10
394,196,4,9
395,196,4,11
396,196,4,11
397,196,4,9
398,196,4,8
399,196,4,7
400,196,4,6
401,196,4,6
402,196,4,6
403,196,4,6
404,196,4,7
405,196,4,8
406,196,4,10
407,196,4,13
408,NA,NA,NA
409,196,4,8
410,NA,NA,NA
411,196,4,8
412,NA,NA,NA
413,196,4,9
414,NA,NA,NA
415,196,4,13
416,196,4,10
417,196,4,14
418,196,4,13
419,196,4,11
420,NA,NA,NA
421,196,4,4
422,196,4,9
423,196,4,8
424,196,4,8
425,196,4,6
426,NA,NA,NA
427,NA,NA,NA
428,196,4,19
429,196,4,15
430,196,4,15
431,196,4,16
432,NA,NA,NA
433,196,4,25
434,196,4,27
435,196,4,24
436,196,4,20
437,196,4,24
438,196,4,22
439,196,4,26
440,196,4,19
441,196,4,20
442,196,4,20
443,196,4,25
444,196,4,22
445,NA,NA,NA
446,196,4,19
447,NA,NA,NA
448,196,4,19
449,NA,NA,NA
450,196,4,16
451,NA,NA,NA
452,196,4,21
453,196,4,35
454,196,4,28
455,196,4,29
456,196,4,27
457,196,4,25
458,196,4,23
459,196,4,21
460,196,4,20
461,196,4,19
462,196,4,17
463,196,4,14
464,NA,NA,NA
465,196,4,22
466,196,4,25
467,196,4,18
468,196,4,16
469,196,4,21
470,196,4,14
471,196,4,14
472,196,4,16
473,196,4,17
474,196,4,21
475,196,4,22
476,NA,NA,NA
477,NA,NA,NA
478,196,4,23
479,196,4,17
480,NA,NA,NA
481,196,4,25
482,196,4,17
483,196,4,17
484,196,4,13
485,196,4,13
486,196,4,12
487,196,4,14
488,NA,NA,NA
489,NA,NA,NA
490,196,4,20
491,196,4,21
492,196,4,12
493,196,4,18
494,196,4,17
495,196,4,11
496,NA,NA,NA
497,196,4,10
498,196,4,11
499,196,4,11
500,196,4,13
501,NA,NA,NA
502,NA,NA,NA
503,NA,NA,NA
504,196,4,14
505,196,4,15
506,196,4,8
507,196,4,9
508,196,4,11
509,196,4,7
510,196,4,8
511,196,4,8
512,196,4,9
513,NA,NA,NA
514,NA,NA,NA
515,NA,NA,NA
516,196,4,14
517,196,4,10
518,196,4,12
519,196,4,8
520,196,4,8
521,196,4,2
522,196,4,4
523,196,4,7
524,196,4,9
525,196,4,10
526,196,4,13
527,196,4,24
528,NA,NA,NA
529,NA,NA,NA
530,NA,NA,NA
531,NA,NA,NA
532,NA,NA,NA
533,NA,NA,NA
534,NA,NA,NA
535,NA,NA,NA
536,NA,NA,NA
537,NA,NA,NA
538,NA,NA,NA
539,NA,NA,NA
540,NA,NA,NA
541,NA,NA,NA
542,NA,NA,NA
543,NA,NA,NA
544,196,4,7
545,NA,NA,NA
546,NA,NA,NA
547,NA,NA,NA
548,196,4,9
549,196,4,16
550,196,4,19
551,196,4,20
552,196,4,23
553,196,4,27
554,196,4,21
555,NA,NA,NA
556,NA,NA,NA
557,196,4,15
558,196,4,13
