time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],tasmean[unit="F"]
2023-08-29T00:00:00Z,31.9555,-109.0744,76.66572570800781
2023-08-30T00:00:00Z,31.9555,-109.0744,76.12289428710938
2023-08-31T00:00:00Z,31.9555,-109.0744,77.09095764160156
2023-09-01T00:00:00Z,31.9555,-109.0744,77.67591857910156
2023-09-02T00:00:00Z,31.9555,-109.0744,73.98594665527344
2023-09-03T00:00:00Z,31.9555,-109.0744,71.15992736816406
2023-09-04T00:00:00Z,31.9555,-109.0744,75.02997589111328
2023-09-05T00:00:00Z,31.9555,-109.0744,77.450927734375
2023-09-06T00:00:00Z,31.9555,-109.0744,77.39692687988281
2023-09-07T00:00:00Z,31.9555,-109.0744,78.3599853515625
2023-09-08T00:00:00Z,31.9555,-109.0744,77.99090576171875
2023-09-09T00:00:00Z,31.9555,-109.0744,77.63093566894531
2023-09-10T00:00:00Z,31.9555,-109.0744,76.87496948242188
2023-09-11T00:00:00Z,31.9555,-109.0744,76.23594665527344
2023-09-12T00:00:00Z,31.9555,-109.0744,73.92294311523438
2023-09-13T00:00:00Z,31.9555,-109.0744,72.7169189453125
2023-09-14T00:00:00Z,31.9555,-109.0744,71.11494445800781
2023-09-15T00:00:00Z,31.9555,-109.0744,73.77896118164062
2023-09-16T00:00:00Z,31.9555,-109.0744,74.08493041992188
2023-09-17T00:00:00Z,31.9555,-109.0744,73.23898315429688
2023-09-18T00:00:00Z,31.9555,-109.0744,73.50891876220703
2023-09-19T00:00:00Z,31.9555,-109.0744,73.42794799804688
2023-09-20T00:00:00Z,31.9555,-109.0744,73.14895629882812
2023-09-21T00:00:00Z,31.9555,-109.0744,70.29596710205078
2023-09-22T00:00:00Z,31.9555,-109.0744,71.8709716796875
2023-09-23T00:00:00Z,31.9555,-109.0744,72.77997589111328
2023-09-24T00:00:00Z,31.9555,-109.0744,74.26493835449219
2023-09-25T00:00:00Z,31.9555,-109.0744,74.38194274902344
2023-09-26T00:00:00Z,31.9555,-109.0744,74.7149429321289
2023-09-27T00:00:00Z,31.9555,-109.0744,76.25396728515625
