"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id","cast_group","confidence_level"
"2019-11-28",2,2020,528,"abundance","jags_RW","controls","OL",0.581,0,2.115,217,525,74,4,0.95
"2019-11-28",3,2020,529,"abundance","jags_RW","controls","OL",0.653,0,2.401,217,525,74,4,0.95
"2019-11-28",4,2020,530,"abundance","jags_RW","controls","OL",0.743,0,2.78,217,525,74,4,0.95
"2019-11-28",5,2020,531,"abundance","jags_RW","controls","OL",0.839,0,3.092,217,525,74,4,0.95
"2019-11-28",6,2020,532,"abundance","jags_RW","controls","OL",0.955,0,3.497,217,525,74,4,0.95
"2019-11-28",7,2020,533,"abundance","jags_RW","controls","OL",1.062,0,3.865,217,525,74,4,0.95
"2019-11-28",8,2020,534,"abundance","jags_RW","controls","OL",1.198,0,4.322,217,525,74,4,0.95
"2019-11-28",9,2020,535,"abundance","jags_RW","controls","OL",1.34,0,4.75,217,525,74,4,0.95
"2019-11-28",10,2020,536,"abundance","jags_RW","controls","OL",1.484,0,5.384,217,525,74,4,0.95
"2019-11-28",11,2020,537,"abundance","jags_RW","controls","OL",1.657,0,5.898,217,525,74,4,0.95
"2019-11-28",10,2019,524,"abundance","jags_RW","controls","OT",3.276,0.886,6.192,217,525,74,4,0.95
"2019-11-28",11,2019,525,"abundance","jags_RW","controls","OT",3.843,0.292,9.706,217,525,74,4,0.95
"2019-11-28",12,2019,526,"abundance","jags_RW","controls","OT",4.506,0.054,13.261,217,525,74,4,0.95
"2019-11-28",1,2020,527,"abundance","jags_RW","controls","OT",5.235,0,16.909,217,525,74,4,0.95
"2019-11-28",2,2020,528,"abundance","jags_RW","controls","OT",6.145,0,21.19,217,525,74,4,0.95
"2019-11-28",3,2020,529,"abundance","jags_RW","controls","OT",7.082,0,26.569,217,525,74,4,0.95
"2019-11-28",4,2020,530,"abundance","jags_RW","controls","OT",8.041,0,31.428,217,525,74,4,0.95
"2019-11-28",5,2020,531,"abundance","jags_RW","controls","OT",9.28,0,37.557,217,525,74,4,0.95
"2019-11-28",6,2020,532,"abundance","jags_RW","controls","OT",10.223,0,43.531,217,525,74,4,0.95
"2019-11-28",7,2020,533,"abundance","jags_RW","controls","OT",11.303,0,50.105,217,525,74,4,0.95
